SiteID, 17152.0,Site Timezone,-6.0,Data Timezone,-6.0
Longitude, -95.205444
Latitude, 35.03545
Year,Month,Day,Hour,Minute,power (MW),wind speed at 100m (m/s)
2011,1,2,20,30,12.934000000000001,9.591000000000001
2011,1,2,20,35,13.083,9.665000000000001
2011,1,2,20,40,13.201,9.722
2011,1,2,20,45,13.22,9.732
2011,1,2,20,50,13.189,9.716000000000001
2011,1,2,20,55,13.17,9.707
2011,1,2,21,0,13.163,9.704
2011,1,2,21,5,13.187,9.716000000000001
2011,1,2,21,10,13.280000000000001,9.762
2011,1,2,21,15,13.459,9.851
2011,1,2,21,20,13.676,9.958
2011,1,2,21,25,13.862,10.049
2011,1,2,21,30,14.024000000000001,10.128
2011,1,2,21,35,14.173,10.202
2011,1,2,21,40,14.31,10.269
2011,1,2,21,45,14.427,10.327
2011,1,2,21,50,14.533,10.379
2011,1,2,21,55,14.644,10.434000000000001
2011,1,2,22,0,14.723,10.495000000000001
2011,1,2,22,5,14.804,10.58
2011,1,2,22,10,14.862,10.641
2011,1,2,22,15,14.882,10.662
2011,1,2,22,20,14.897,10.678
2011,1,2,22,25,14.957,10.742
2011,1,2,22,30,15.021,10.809000000000001
2011,1,2,22,35,15.093,10.885
2011,1,2,22,40,15.183,10.98
2011,1,2,22,45,15.255,11.056000000000001
2011,1,2,22,50,15.275,11.077
2011,1,2,22,55,15.304,11.108
2011,1,2,23,0,15.367,11.175
2011,1,2,23,5,15.454,11.267
2011,1,2,23,10,15.540000000000001,11.358
2011,1,2,23,15,15.647,11.471
2011,1,2,23,20,15.703000000000001,11.593
2011,1,2,23,25,15.74,11.712
2011,1,2,23,30,15.775,11.825000000000001
2011,1,2,23,35,15.811,11.941
2011,1,2,23,40,15.844000000000001,12.048
2011,1,2,23,45,15.874,12.146
2011,1,2,23,50,15.893,12.207
2011,1,2,23,55,15.904,12.24
2011,1,3,0,0,15.923,12.301
2011,1,3,0,5,15.956,12.408
2011,1,3,0,10,15.993,12.527000000000001
2011,1,3,0,15,16.0,12.628
2011,1,3,0,20,16.0,12.677
2011,1,3,0,25,16.0,12.695
2011,1,3,0,30,16.0,12.667
2011,1,3,0,35,16.0,12.597
2011,1,3,0,40,16.0,12.567
2011,1,3,0,45,16.0,12.603
2011,1,3,0,50,16.0,12.612
2011,1,3,0,55,16.0,12.594
2011,1,3,1,0,16.0,12.57
2011,1,3,1,5,16.0,12.619
2011,1,3,1,10,16.0,12.71
2011,1,3,1,15,16.0,12.838000000000001
2011,1,3,1,20,16.0,13.003
2011,1,3,1,25,16.0,13.183
2011,1,3,1,30,16.0,13.372
2011,1,3,1,35,16.0,13.528
2011,1,3,1,40,16.0,13.647
2011,1,3,1,45,16.0,13.742
2011,1,3,1,50,16.0,13.8
2011,1,3,1,55,16.0,13.818
2011,1,3,2,0,16.0,13.833
2011,1,3,2,5,16.0,13.870000000000001
2011,1,3,2,10,16.0,13.891
2011,1,3,2,15,16.0,13.858
2011,1,3,2,20,16.0,13.815
2011,1,3,2,25,16.0,13.778
2011,1,3,2,30,16.0,13.772
2011,1,3,2,35,16.0,13.861
2011,1,3,2,40,16.0,14.038
2011,1,3,2,45,16.0,14.187000000000001
2011,1,3,2,50,16.0,14.282
2011,1,3,2,55,16.0,14.328000000000001
2011,1,3,3,0,16.0,14.395
2011,1,3,3,5,16.0,14.526
2011,1,3,3,10,16.0,14.624
2011,1,3,3,15,16.0,14.682
2011,1,3,3,20,16.0,14.679
2011,1,3,3,25,16.0,14.685
2011,1,3,3,30,16.0,14.703000000000001
2011,1,3,3,35,16.0,14.746
2011,1,3,3,40,16.0,14.779
2011,1,3,3,45,16.0,14.761000000000001
2011,1,3,3,50,16.0,14.773
2011,1,3,3,55,16.0,14.868
2011,1,3,4,0,16.0,14.950000000000001
2011,1,3,4,5,16.0,15.039
2011,1,3,4,10,16.0,15.151
2011,1,3,4,15,16.0,15.212
2011,1,3,4,20,16.0,15.234
2011,1,3,4,25,16.0,15.273
2011,1,3,4,30,16.0,15.362
2011,1,3,4,35,16.0,15.481
2011,1,3,4,40,16.0,15.603
2011,1,3,4,45,16.0,15.731
2011,1,3,4,50,16.0,15.838000000000001
2011,1,3,4,55,16.0,15.924
2011,1,3,5,0,16.0,16.033
2011,1,3,5,5,16.0,16.131
2011,1,3,5,10,16.0,16.201
2011,1,3,5,15,16.0,16.204
2011,1,3,5,20,16.0,16.165
2011,1,3,5,25,16.0,16.216
2011,1,3,5,30,16.0,16.296
2011,1,3,5,35,16.0,16.421
2011,1,3,5,40,16.0,16.497
2011,1,3,5,45,16.0,16.522000000000002
2011,1,3,5,50,16.0,16.528
2011,1,3,5,55,16.0,16.479
2011,1,3,6,0,16.0,16.436
2011,1,3,6,5,16.0,16.461000000000002
2011,1,3,6,10,16.0,16.497
2011,1,3,6,15,16.0,16.515
2011,1,3,6,20,16.0,16.543
2011,1,3,6,25,16.0,16.573
2011,1,3,6,30,16.0,16.567
2011,1,3,6,35,16.0,16.577
2011,1,3,6,40,16.0,16.61
2011,1,3,6,45,16.0,16.665
2011,1,3,6,50,16.0,16.714
2011,1,3,6,55,16.0,16.754
2011,1,3,7,0,16.0,16.772000000000002
2011,1,3,7,5,16.0,16.79
2011,1,3,7,10,16.0,16.808
2011,1,3,7,15,16.0,16.796
2011,1,3,7,20,16.0,16.735
2011,1,3,7,25,16.0,16.671
2011,1,3,7,30,16.0,16.622
2011,1,3,7,35,16.0,16.573
2011,1,3,7,40,16.0,16.519000000000002
2011,1,3,7,45,16.0,16.445
2011,1,3,7,50,16.0,16.36
2011,1,3,7,55,16.0,16.375
2011,1,3,8,0,16.0,16.427
2011,1,3,8,5,16.0,16.372
2011,1,3,8,10,16.0,16.326
2011,1,3,8,15,16.0,16.302
2011,1,3,8,20,16.0,16.198
